severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
50,3.5800998,31.171999,40.228897,161,7173,35,3,200,1662,0,Antelope_2021,-121.65999611199337,41.50110960731513,Timber-Understory,Tree
-6,4.3025,29.3352,35.3793,122,7172,35,3,221,1755,0,Antelope_2021,-121.66965796379527,41.526942555339126,Grass-Shrub,Tree
-48,4.3025,29.3352,35.3793,184,7032,45,4,176,1871,0,Antelope_2021,-121.67932691634311,41.55277544590138,Timber Litter,Tree
61,5.4244,29.418098,35.1816,122,7058,25,5,305,1977,0,Antelope_2021,-121.68900297726711,41.57860828429438,Grass-Shrub,Tree
683,6.9623,31.1775,39.8206,189,7027,45,1,-1,1814,0,Antelope_2021,-121.69868615420819,41.6044410758167,Timber Litter,Tree
1006,6.9623,31.1775,39.8206,165,7031,45,3,303,1654,0,Antelope_2021,-121.7083764548179,41.63027382577363,Timber-Understory,Tree
930,7.0460997,32.4058,42.832,189,7027,45,2,-1,1519,0,Antelope_2021,-121.71807388675845,41.65610653947683,Timber Litter,Tree
555,7.0460997,32.4058,42.832,161,7156,35,2,-1,1464,0,Antelope_2021,-121.72777845770274,41.681939222244345,Timber-Understory,Tree
53,8.1261,32.5142,42.3078,122,7017,15,15,117,1514,0,Antelope_2021,-121.73749017533437,41.70777187940099,Grass-Shrub,Tree
-20,8.1191,32.666298,42.2481,122,7031,25,18,275,1446,0,Antelope_2021,-121.74720904734771,41.73360451627773,Grass-Shrub,Tree
-155,8.1191,32.666298,42.2481,122,7017,15,0,-1,1348,1,Antelope_2021,-121.75693508144785,41.759437138212455,Grass-Shrub,Tree
-73,7.1533,32.5867,41.6014,145,7080,0,5,148,1476,1,Antelope_2021,-121.76666828535058,41.78526975054936,Shrub,Shrub
-98,7.8703,32.4421,41.480698,145,7080,0,26,60,1380,0,Antelope_2021,-121.77640866678247,41.81110235863942,Shrub,Shrub
-581,7.4979997,32.4032,41.0093,99,9006,0,13,79,1303,0,Antelope_2021,-121.78615623348105,41.83693496784006,Non-Burnable,Sparse
-120,8.0503,32.5859,41.100998,93,7965,0,2,-1,1265,0,Antelope_2021,-121.79591099319447,41.86276758351549,Non-Burnable,Agriculture
85,3.6158998,32.5821,43.691998,161,7173,0,2,-1,1493,0,Antelope_2021,-121.60581727251515,41.456582980415966,Timber-Understory,Tree
19,3.2356,30.5914,38.705997,99,9213,0,2,-1,1608,0,Antelope_2021,-121.61545312019916,41.48241886152753,Non-Burnable,Sparse
12,3.2356,30.5914,38.705997,189,7027,45,6,240,1749,0,Antelope_2021,-121.6250960461526,41.508254678287756,Timber Litter,Tree
74,4.0666,28.7142,34.2775,187,7032,65,6,178,1864,0,Antelope_2021,-121.6347460579789,41.53409043598228,Timber Litter,Tree
